County,State,Total:,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:
Maury County,Tennessee,"100,974","7,660","93,314","89,033","76,182","11,241",248,934,45,383,"4,281"
Meigs County,Tennessee,"12,758",220,"12,538","12,077","11,823",131,58,26,1,38,461
Monroe County,Tennessee,"46,250","1,937","44,313","42,343","41,185",736,141,194,2,85,"1,970"
Montgomery County,Tennessee,"220,069","22,934","197,135","182,582","131,294","43,349",757,"5,039",936,"1,207","14,553"
Moore County,Tennessee,"6,461",101,"6,360","6,159","5,999",103,17,29,1,10,201
Morgan County,Tennessee,"21,035",299,"20,736","20,167","19,029",971,54,41,8,64,569
Obion County,Tennessee,"30,787","1,574","29,213","28,093","24,736","3,137",50,103,0,67,"1,120"
Overton County,Tennessee,"22,511",344,"22,167","21,461","21,223",86,60,61,0,31,706
Perry County,Tennessee,"8,366",127,"8,239","7,984","7,700",195,41,26,1,21,255
Pickett County,Tennessee,"5,001",83,"4,918","4,848","4,811",8,8,15,1,5,70
Polk County,Tennessee,"17,544",297,"17,247","16,499","16,313",61,59,33,10,23,748
Putnam County,Tennessee,"79,854","6,256","73,598","70,402","66,782","2,161",161,"1,086",33,179,"3,196"
Rhea County,Tennessee,"32,870","1,960","30,910","29,609","28,641",598,100,195,6,69,"1,301"
Roane County,Tennessee,"53,404","1,011","52,393","50,074","48,094","1,302",161,341,19,157,"2,319"
Robertson County,Tennessee,"72,803","6,878","65,925","62,993","57,049","5,091",139,447,21,246,"2,932"
Rutherford County,Tennessee,"341,486","38,317","303,169","287,508","219,194","53,270",789,"12,394",219,"1,642","15,661"
Scott County,Tennessee,"21,850",205,"21,645","21,082","20,957",32,36,51,0,6,563
Sequatchie County,Tennessee,"15,826",621,"15,205","14,641","14,409",72,49,65,4,42,564
Sevier County,Tennessee,"98,380","8,614","89,766","86,260","83,801",766,312,"1,103",24,254,"3,506"
Shelby County,Tennessee,"929,744","77,707","852,037","825,205","316,740","475,074","1,561","27,960",256,"3,614","26,832"
Smith County,Tennessee,"19,904",518,"19,386","18,575","18,054",356,61,84,0,20,811
Stewart County,Tennessee,"13,657",336,"13,321","12,689","12,321",171,74,76,2,45,632
Sullivan County,Tennessee,"158,163","3,548","154,615","148,664","143,354","3,197",350,"1,270",36,457,"5,951"
Sumner County,Tennessee,"196,281","12,870","183,411","174,885","155,169","15,537",476,"2,932",116,655,"8,526"
Tipton County,Tennessee,"60,970","1,686","59,284","56,487","44,925","10,760",180,393,39,190,"2,797"
Trousdale County,Tennessee,"11,615",375,"11,240","10,776","8,786","1,917",26,27,0,20,464
Unicoi County,Tennessee,"17,928","1,107","16,821","16,315","16,175",44,38,37,0,21,506
Union County,Tennessee,"19,802",404,"19,398","18,810","18,642",53,33,36,5,41,588
Van Buren County,Tennessee,"6,168",83,"6,085","5,904","5,866",20,7,10,1,0,181
Warren County,Tennessee,"40,953","3,943","37,010","35,560","33,980","1,090",84,258,10,138,"1,450"
Washington County,Tennessee,"133,001","6,136","126,865","121,045","112,606","5,511",289,"1,980",53,606,"5,820"
Wayne County,Tennessee,"16,232",379,"15,853","15,481","14,503",878,18,27,1,54,372
Weakley County,Tennessee,"32,902",905,"31,997","30,732","27,813","2,593",52,192,3,79,"1,265"
White County,Tennessee,"27,351",736,"26,615","25,511","24,833",405,75,132,10,56,"1,104"
Williamson County,Tennessee,"247,726","14,261","233,465","224,524","200,408","9,709",393,"12,879",115,"1,020","8,941"
Wilson County,Tennessee,"147,737","8,375","139,362","133,125","118,889","10,099",405,"3,086",44,602,"6,237"
West Virginia,West Virginia,"1,793,716","34,827","1,758,889","1,686,754","1,598,834","64,749","3,187","14,903",429,"4,652","72,135"
Barbour County,West Virginia,"15,465",192,"15,273","14,717","14,379",259,37,32,0,10,556
Berkeley County,West Virginia,"122,076","6,893","115,183","107,960","96,559","9,118",284,"1,445",43,511,"7,223"
Boone County,West Virginia,"21,809",133,"21,676","20,942","20,712",135,39,36,2,18,734
Braxton County,West Virginia,"12,447",85,"12,362","12,057","11,939",50,19,23,11,15,305
Brooke County,West Virginia,"22,559",287,"22,272","21,318","20,792",365,36,55,0,70,954
Cabell County,West Virginia,"94,350","1,562","92,788","88,677","82,095","4,751",185,"1,328",20,298,"4,111"
Calhoun County,West Virginia,"6,229",48,"6,181","6,017","5,976",13,12,12,2,2,164
Clay County,West Virginia,"8,051",52,"7,999","7,705","7,651",11,29,13,0,1,294
Doddridge County,West Virginia,"7,808",77,"7,731","7,509","7,290",174,15,15,0,15,222
Fayette County,West Virginia,"40,488",525,"39,963","38,290","36,308","1,662",100,105,1,114,"1,673"
Gilmer County,West Virginia,"7,408",244,"7,164","6,991","6,026",923,11,30,0,1,173
Grant County,West Virginia,"10,976",91,"10,885","10,611","10,463",83,21,24,0,20,274
Greenbrier County,West Virginia,"32,977",571,"32,406","31,305","30,199",766,55,192,5,88,"1,101"
Hampshire County,West Virginia,"23,093",337,"22,756","22,002","21,655",178,30,61,4,74,754
Hancock County,West Virginia,"29,095",424,"28,671","27,402","26,484",695,31,110,8,74,"1,269"
Hardy County,West Virginia,"14,299",659,"13,640","13,188","12,685",403,16,53,0,31,452
Harrison County,West Virginia,"65,921","1,403","64,518","61,770","59,862","1,104",135,489,28,152,"2,748"
Jackson County,West Virginia,"27,791",230,"27,561","26,709","26,411",100,43,91,2,62,852
Jefferson County,West Virginia,"57,701","4,137","53,564","50,398","45,784","3,379",104,817,10,304,"3,166"
Kanawha County,West Virginia,"180,745","2,720","178,025","169,426","152,735","13,416",357,"2,138",47,733,"8,599"
Lewis County,West Virginia,"17,033",191,"16,842","16,261","16,088",66,19,58,7,23,581
Lincoln County,West Virginia,"20,463",171,"20,292","19,815","19,702",44,22,26,0,21,477
Logan County,West Virginia,"32,567",224,"32,343","31,504","30,785",580,41,63,1,34,839
McDowell County,West Virginia,"19,111",390,"18,721","18,099","15,871","2,139",20,20,4,45,622
Marion County,West Virginia,"56,205",875,"55,330","52,601","50,223","1,844",119,256,43,116,"2,729"
Marshall County,West Virginia,"30,591",354,"30,237","29,142","28,669",260,34,108,7,64,"1,095"
Mason County,West Virginia,"25,453",170,"25,283","24,646","24,322",193,32,74,5,20,637
Mercer County,West Virginia,"59,664",705,"58,959","56,554","52,264","3,694",159,292,6,139,"2,405"
Mineral County,West Virginia,"26,938",309,"26,629","25,518","24,603",711,36,113,5,50,"1,111"
Mingo County,West Virginia,"23,568",164,"23,404","22,796","22,293",405,33,32,0,33,608
Monongalia County,West Virginia,"105,822","3,308","102,514","97,348","88,959","4,068",147,"3,729",63,382,"5,166"
Monroe County,West Virginia,"12,376",94,"12,282","11,919","11,739",113,26,11,0,30,363
Morgan County,West Virginia,"17,063",236,"16,827","16,170","15,896",108,30,83,0,53,657
Nicholas County,West Virginia,"24,604",173,"24,431","23,719","23,525",56,44,72,7,15,712
Ohio County,West Virginia,"42,425",647,"41,778","39,823","37,559","1,656",67,387,20,134,"1,955"
Pendleton County,West Virginia,"6,143",57,"6,086","5,938","5,835",81,7,0,2,13,148
Pleasants County,West Virginia,"7,653",63,"7,590","7,359","7,215",95,22,17,0,10,231
Pocahontas County,West Virginia,"7,869",107,"7,762","7,563","7,455",51,23,9,0,25,199
Preston County,West Virginia,"34,216",695,"33,521","32,513","30,348","2,001",69,53,5,37,"1,008"
Putnam County,West Virginia,"57,440",811,"56,629","54,602","53,139",646,81,577,7,152,"2,027"
Raleigh County,West Virginia,"74,591","1,197","73,394","70,423","63,510","5,790",132,819,16,156,"2,971"
Randolph County,West Virginia,"27,932",312,"27,620","26,695","26,033",424,56,96,1,85,925
Ritchie County,West Virginia,"8,444",80,"8,364","8,172","8,116",16,6,19,7,8,192
Roane County,West Virginia,"14,028",152,"13,876","13,341","13,231",35,28,38,0,9,535
Summers County,West Virginia,"11,959",185,"11,774","11,310","10,823",400,33,33,0,21,464
Taylor County,West Virginia,"16,705",179,"16,526","15,830","15,636",112,19,41,0,22,696
Tucker County,West Virginia,"6,762",56,"6,706","6,473","6,432",20,4,6,1,10,233
Tyler County,West Virginia,"8,313",53,"8,260","7,999","7,964",4,15,3,0,13,261
Upshur County,West Virginia,"23,816",316,"23,500","22,717","22,349",211,37,87,5,28,783
Wayne County,West Virginia,"38,982",319,"38,663","37,569","37,199",168,53,83,10,56,"1,094"
Webster County,West Virginia,"8,378",50,"8,328","8,123","8,086",10,14,4,2,7,205
Wetzel County,West Virginia,"14,442",148,"14,294","13,817","13,704",34,18,50,0,11,477
Wirt County,West Virginia,"5,194",22,"5,172","5,021","4,999",6,4,0,4,8,151
Wood County,West Virginia,"84,296","1,174","83,122","79,672","77,718","1,016",148,564,17,209,"3,450"
Wyoming County,West Virginia,"21,382",170,"21,212","20,708","20,539",107,30,11,1,20,504
