Competitor,Address,City,County,State,ZipCode,Latitude,Longitude
Sam's Club,6955 Miller Road,Dayton,Montgomery County,OH ,45414,39.760973,-84.198938
Sam's Club,800 Kemper Commons Circle,Springdale,Hamilton County,OH ,45246,39.28779399,-84.45789682
Sam's Club,3724 Northpointe Drive,Zanesville,Muskingum County,OH ,43701,39.9870884,-82.0308291
Costco Wholesale ,1409 Golden Gate Boulevard,Cleveland,Cuyahoga County,OH ,44124,41.5242887,-81.4472055
Costco Wholesale ,9691 Waterstone Boulevard,Cinicinnati,Hamilton County,OH ,45249,39.2969356,-84.3028055
Costco Wholesale ,7135 Veterans Boulevard,Liberty Township,Butler County,OH ,45069,39.3713584,-84.3559728
Costco Wholesale ,5300 Cornerstone North Boulevard,Centerville,Montgomery County,OH ,45440,39.6629,-84.10724
Costco Wholesale ,7300 State Route 161 East,Plant City ,Union County,OH ,43064,40.108346,-83.18929
Costco Wholesale ,6720 Bass Pro Drive,Hudson,Summit County,OH ,44236,41.26552555,-81.50744982
Costco Wholesale ,3888 Stelzer Road,Columbus,Franklin County,OH ,43219,40.05203752,-82.9088182
Costco Wholesale ,1500 Gemini Place,Columbus,Franklin County,OH ,43240,40.14856212,-82.97963431
Costco Wholesale ,26400 Dixie Highway,Perrysburg,Wood County,OH ,43551,41.53534465,-83.63574084
Costco Wholesale ,3405 West Central Avenue,Toledo,Lucas County,OH ,43606,41.67725083,-83.62544419
Costco Wholesale ,4953 Huckleberry Street Northwest,North Canton,Stark County,OH ,44720,40.8858735,-81.4694034
Costco Wholesale ,16690 Royalton Road ,Strongsville,Cuyahoga County,OH ,44136,41.3131761,-81.81612167
Costco Wholesale ,35804 Detroit Road,Avon ,Lorain County,OH ,44011,41.45982965,-82.01154782
Sam's Club,3200 Ken Bale Boulevard,Bowling Green,Warren County,KY,42103,36.9412604,-86.4172474
Sam's Club,5240 Frederica Street,Owensboro,Daviess County,KY,42301,37.7153728,-87.1283677
Sam's Club,4949 Houston Road,Florence,Boone County,KY,41042,39.0162792,-84.6398596
Sam's Club,1063 New Circle Road Northeast,Lexington,Fayette County,KY,40505,38.03715555,-84.4505074
Sam's Club,103 Bryant Drive,Nicholasville,Jessamine County,KY,40356,37.9383098,-84.5490783
Sam's Club,1500 Ring Road,Elizabethtown,Hardin County,KY,42701,37.725912,-85.890796
Sam's Club,1401 Alliant Avenue,Jeffersontown,Jefferson County,KY,40299,38.221792,-85.534985
Sam's Club,6622 Preston Highway,Louisville ,Jefferson County,KY,40219,38.155355,-85.69624554
Costco Wholesale ,3408 Bardstown Road,Louisville ,Jefferson County,KY,40218,38.20545396,-85.66664213
Costco Wholesale ,5020 Norton Healthcare Boulevard,Louisville ,Jefferson County,KY,40241,38.3168413,-85.5717277
Costco Wholesale ,1500 Fitzgerald Court,Lexington,Fayette County,KY,40509,38.0245733,-84.4099231
Costco Wholesale ,800 Heights Boulevard,Florence,Boone County,KY,41042,38.987601,-84.647087
BJ's Wholesale Club,2131 Kirkwood Highway,Wilmington,New Castle County,DE,19805,39.73839487,-75.60988786
BJ's Wholesale Club,124 Sunset Boulevard,New Castle,New Castle County,DE,19720,39.665796,-75.60178
BJ's Wholesale Club,100 Pencader Plaza ,Newark,New Castle County,DE,19713,39.65996277,-75.73638937
Sam's Club,1572 N Dupont Highway,Dover,Kent County,DE,19901,39.196621,-75.551269
Costco Wholesale ,900 Center Boulevard South,Newark ,New Castle County,DE,19702,39.6773868,-75.6477923
BJ's Wholesale Club,106 Federal Road,Brookfield,Fairfield County,CT,6804,41.43632752,-73.40908424
BJ's Wholesale Club,20 Division Street,Derby,New Haven County,CT,6418,41.33350506,-73.08541671
BJ's Wholesale Club,955 Ferry Boulevard,Stratford,Fairfield County,CT,6614,41.2022511,-73.1133597
BJ's Wholesale Club,555 Universal Drive,North Haven,New Haven County,CT,6473,41.358946,-72.870433
BJ's Wholesale Club,40 Black Rock Turnpike,Fairfield,Fairfield County,CT,6825,41.16126825,-73.23044502
BJ's Wholesale Club,344 Reidville Drive,Waterbury,New Haven County,CT,6705,41.5366069,-73.0011516
BJ's Wholesale Club,1046 North Colony Road,Wallingford,New Haven County,CT,6492,41.494754,-72.8072525
BJ's Wholesale Club,106 Federal Road,Brookfield,Fairfield County,CT,6804,41.43632752,-73.40908424
BJ's Wholesale Club,75 Spring Street,Southington,Hartford County,CT,6489,41.63106569,-72.88209765
BJ's Wholesale Club,507 New Park Avenue,West Hartford,Hartford County,CT,6110,41.7400815,-72.7236378
BJ's Wholesale Club,1280 East Main Street,Torrington,Litchfield County,CT,6790,41.81606047,-73.09344599
BJ's Wholesale Club,1046 Tolland Turnpike ,Manchester,Hartford County,CT,6042,41.7951215,-72.5483517
BJ's Wholesale Club,1589 Main Street,Willimantic,Windham County,CT,6226,41.72300875,-72.23711781
Sam's Club,3465 Berlin Turnpike,Newington,Hartford County,CT,6111,41.65741826,-72.72435565
Costco Wholesale ,405 Hartford Road,New Britain,Hartford County,CT,6053,41.71041835,-72.76562531
Costco Wholesale ,1200 Tamarack Avenue,South Windsor,Hartford County,CT,6074,41.8201478,-72.5553961
Costco Wholesale ,75 Freshwater Boulevard,Enfield,Hartford County,CT,6082,41.99197145,-72.57687532
Costco Wholesale ,3600 East Main Street,Waterbury,New Haven County,CT,6705,41.5395004,-72.9676543
Costco Wholesale ,284 Flanders Road,East Lyme,New London County,CT,6333,41.3591559,-72.2133603
Costco Wholesale ,1718 Boston Post Road,Milford,New Haven County,CT,6460,41.24914,-73.023454
Costco Wholesale ,200 Federal Road,Brookfield,Fairfield County,CT,6804,41.4422128,-73.4062581
Costco Wholesale ,779 Connecticut Avenue,Norwalk,Fairfield County,CT,6854,41.09244745,-73.45271983
